#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
wanna_buy_egg;A merchant from across the narrow sea approaches you and offers you a petrified dragon egg for a hefty sum of gold dragons.;Un marchand originaire d'au-delà du Détroit vient à vous pour vous proposer un œuf pétrifié de dragon. En échange; bien entendu; d'une somme conséquente.;;;Un mercader proveniente de allende el Mar Angosto se te acerca y ofrece un huevo de dragón petrificado; por una importante suma de dragones dorados.;;;;;;;;;x;;;;;;;;;;;;;
buy_the_egg;Yes; I shall be the owner of a fabulous dragon egg!.;Oui; je serai le propriétaire d'un fabuleux œuf de dragon !;;;¡He de poseer tal fabuloso huevo de dragón!;;;;;;;;;x;;;;;;;;;;;;;;
no_thanks;Dragon Egg?! That is an oddly shaped rock; nothing else.;Un Œuf de Dragon? ! C'est une pierre avec une forme étrange; rien d'autre. ;;;¿Huevo de Dragón? No es más que un pedrusco con forma rara.;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC3370000;[Root.GetTitledFirstName] left you [Root.GetHerHis] dragon egg.;[Root.GetTitledFirstName] vous laisse son œuf de dragon. ;;;[Root.GetTitledFirstName] te deja su huevo de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESC3370050;[Root.GetTitledFirstName] left you [Root.GetHerHis] dragon.;[Root.GetTitledFirstName] vous laisse son dragon.;;;[Root.GetTitledFirstName] te deja su dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.2;[From.GetTitledFirstName] managed to aquire a mysterious dragon egg.;[From.GetTitledFirstName] a obtenu un mystérieux œuf de dragon.;;;[From.GetTitledFirstName] ha adquirido un misterioso huevo de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTdragon.2;It's probably just an oddly-shaped rock.;Ce n'est sans doute qu'une une pierre avec une forme étrange.;;;Probablemente no sea más que un pedrusco con forma rara.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.5;The time has come. I have gathered enough knowledge to hatch a dragon from my dragon egg. No one will be able to stand against me!;Le temps est venu. J'ai assemblé assez de connaissances pour faire éclore mon œuf et obtenir un dragon. Bientôt; nul ne pourra me résister.;;;Ha llegado el momento. Al fin he reunido el conocimiento necesario para hacer eclosionar el huevo. Pronto nadie podrá oponerse a mí.;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTdragon.5;Fire and Blood!;Feu et Sang !;;;Fuego y Sangre!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTdragon.5DANY;I am the Mother of Dragons!;Je suis la mère des dragons !;;;Soy la Madre de Dragones!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.7;Travellers bring rumors of fire and blood from [From.Location.GetName]. They say that the dragons live once more; and that [FromFrom.GetTitledFirstNameWithDynasty] is their master. ;Des voyageurs rapportent des rumeurs de feu et de sang en provenance de [From.Location.GetName]. D'après eux; [From.GetTitledFirstName] a fait éclore son œuf et obtenu un dragon en vie. Qu'est-ce que cette folie? !;;;Los viajeros traen rumores de fuego y sangre de [From.Location.GetName]. Dicen que los dragones viven de nuevo; y pertenecen a [FromFrom.GetTitledFirstNameWithDynasty]. ;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.7;What madness is this?!;Espèce de fou ! Les Dragons signifieront la fin du Royaume.;;;Qué locura es esta?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.799;News from [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; a new dragon has entered the world. [FromFrom.GetTitledFirstNameWithDynasty] has apparently successfully hatched one; and has named the [From.GetSheHe]-dragon [From.GetFirstName].;Nous avons des nouvelles de [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; un nouveau dragon vient de naître. [FromFrom.GetTitledFirstNameWithDynasty] a apparemment réussi à faire éclore un oeuf et a nommé son dragon [From.GetFirstName].;;;Nuevas noticias de [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; ha nacido un nuevo dragón. [FromFrom.GetTitledFirstNameWithDynasty] ha conseguido eclosionar un huevo de dragón y a llamado a su dragón [From.GetFirstName].;;;;;;;;;x;;;;;;;;;;;;
EVTDESCdragon.799;News from [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; a new dragon has entered the world. [FromFrom.GetTitledFirstNameWithDynasty] has apparently hatched a weak and sickly dragon; and has named the [From.GetSheHe]-dragon [From.GetFirstName].;Nous avons des nouvelles de [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; un nouveau dragon vient de naître. [FromFrom.GetTitledFirstNameWithDynasty] a apparemment réussi à faire éclore un oeuf et a nommé son dragon [From.GetFirstName].;;;Nuevas noticias de [From.Location.GetName] [Root.PrimaryTitle.GetFOA]; ha nacido un nuevo dragón. [FromFrom.GetTitledFirstNameWithDynasty] ha conseguido eclosionar un huevo de dragón y a llamado a su dragón [From.GetFirstName].;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.799;Good for [FromFrom.GetHerHim];Voilà qui est pour [FromFrom.GetHerHim];;;Bien por él;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.17;Travellers bring rumors of fire and blood. They say that the dragons live once more; and that [FromFrom.GetTitledFirstNameWithDynasty] now rides [From.GetFirstName] into battle.;Des voyageurs colportent des rumeurs de feu et de sang. Ils disent que les dragons sont revenus à la vie et que [FromFrom.GetTitledFirstNameWithDynasty] monte [From.GetFirstName] au combat.;;;Los viajeros traen rumores de fuego y sangre. Dicen que los dragones viven de nuevo; y que [FromFrom.GetTitledFirstNameWithDynasty] monta a [From.GetFirstName] en el combate.;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.17;Dragons? What about Snarks and Whitewalkers? Get out!;Des dragons ? Pourquoi pas des marcheurs blancs pendant qu'on y est ? !;;;Dragones? Y que hay de los Snarks y los Caminantes Blancos? Fuera de aquí!;;;;;;;x;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.17;Does the world have enough room for another Dragon rider?;Y a-t-il encore assez de place dans ce bas monde pour un autre chevaucheur de dragon ?;;;Todavía hay espacio suficiente en este mundo para otro jinete de dragón?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.36;Travellers bring rumors of fire and blood. They say that [From.GetFirstName] has been slain by [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal]!;Des voyageurs colportent des rumeurs de feu et de sang. Ils disent que [From.GetFirstName] a été tué par [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Los viajeros traen rumores de fuego y sangre. Dicen que [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha matado a [From.GetFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.36;So brave!;Si brave !;;;Muy valiente!;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_dragonpit_desc;While in King's Landing; you visit the Dragon Pit where once the beasts of old Valyria were bred. The great pits and crumbling walls fill your mind with fantasies. If only the dragons still lived...;A Port-Réal; vous visitez Fossedragon où furent élevées les bêtes de l'antique Valyria. Cela alimente vos fantasmes. Si seulement les dragons étaient encore en vie… ;;;En tu reciente viaje a Desembarco del Rey; visitaste las ruinas de Pozo Dragón; donde las bestias de la Antigua Valyria eran criadas. Los grandes fosos y muros derruidos llenan tu mente con fantasías. Si los dragones siguieran con vida...;;;;;;;;;x;;;;;;;;;;;;
dragon_intel_dragonpit_opt;What if there's still life in these old stones after all?;Que se passerait-il s'il y avait de la vie dans ces vieux cailloux ?;;;Qué pasaría si todavía hubiese vida en estas piedras viejas después de todo?;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_dragonstone_desc;On Dragonstone; you notice the stone dragons on the walls of the old castle. What if those huge stone beasts could come to life; and fill the skies with fire once again?;A Peyredragon; vous remarquez les dragons en pierre sur les murs du vieux château. Et si ces bêtes en pierre pouvaient être ramenées à la vie d'une manière ou d'une autre ?;;;En Rocadragón; los antiguos dragones de piedra de los muros del castillo atrajeron tu atención. ¿Y si hubiera alguna forma de devolver esas piedras a la vida?;;;;;;;;;x;;;;;;;;;;;;
dragon_intel_dragonstone_opt;A stone dragon... or a stone dragon's egg.;Un dragon pétrifié… ou un œuf de dragon pétrifié. ;;;Un dragón de piedra...o un huevo de dragón de piedra.;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_citadel_desc;During your stay in the Citadel; a book catches your eye. The cover is richly decorated with dragon imagery and the title reads 'Blood and Fire'. You decide to take it with you.;Durant votre séjour à la Citadelle de Villevieille; vous remarquez un livre intitulé 'Sang et Feu' arborant un dragon sur sa couverture. Vous décidez de le prendre.;;;Durante tu estancia en la Ciudadela de Antigua; reparas en un libro con Sangre y Fuego por título y un dragón en la portada. Decides llevártelo contigo.;;;;;;;;;x;;;;;;;;;;;;;
dragon_intel_citadel_opt;It could do me far more good than these old fools.;Cela me servira bien plus qu'à ces vieux grincheux !;;;Me servirá más que estos viejos gruñones!;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_fof_desc;As you ride across the Reach; you come across the legendary Field of Fire. They say that this is where the armies of the Reach and the Westerlands joined forces to defeat Aegon the Conqueror - and were destroyed in a single night as all the Targaryens unleashed all three of their dragons.;Alors que vous chevauchez dans le Nord du Bief; vous traversez par hasard un endroit où eut lieu l'antique bataille du Champ de Feu. Les légendes racontent qu'en une nuit; trois dragons Targaryens détruisirent une armée coalisée du Bief et des Terres de l'Ouest en brûlant des milliers de soldats; donnant ainsi la victoire à Aegon le Conquérant.;;;Cabalgando por el norte del Dominio; atraviesas el Campo de Fuego; el lugar donde tuvo lugar la antigua batalla en la que tres dragones Targaryen destruyeron los ejércitos del Dominio y la Roca quemando a miles de soldados; asegurando así la victoria para Aegon el Conquistador.;;;;;;;;;x;;;;;;;;;
dragon_intel_fof_opt;If only I could command such power!;Si seulement je pouvais être à la tête d'une telle puissance !;;;Ah; si pudiera liderar ese poder...;;;;;;;;;x;;;;;;;;;;;;;;;
dragon_intel_harrenhal_desc;When moving past the gates of Harrenhal; you notice the black melted stone. There is only one thing in the world that can melt those walls: Dragonfire;Alors que vous franchissez les portes d'Harrenhal; vous remarquez la pierre noircie et fondue. Il n'y a qu'une seule chose au monde qui peut faire fondre ces murs: le feu du dragon;;;Cuando franqueas las puertas de Harrenhal; observas la piedra ennegrecida y fundida. Solo hay una cosa en el mundo que pueda fundir esos muros: el fuego de dragón.;;;;;;;;;x;;;;;;;;;;;;;
dragon_intel_harrenhal_opt;Amazing.;Incroyable.;;;Increíble;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_intel_summerhall_desc;And yet Summerhall was the place the prince loved best. He would go there from time to time; with only his harp for company. Even the knights of the Kingsguard did not attend him there. He liked to sleep in the ruined hall; beneath the moon and stars; and whenever he came back he would bring a song. ...';Et Lestival était l'endroit que le prince aimait le plus. Il s'y rendait de temps en temps; avec sa harpe pour seule compagnie. Même les chevaliers de la Garde Royale ne le suivaient pas là-bas. Il aimait dormir dans le hall en ruine sous la lune et les étoiles et chaque fois qu'il en revenait c'était avec une chanson...';;;Y Refugio Estival era el lugar que el príncipe más amaba. Volvía cada cierto tiempo; con su harpa como única compañía. Incluso los caballeros de la Guardia Real se quedaban fuera de allí. Le gustaba dormir en el vestíbulo en ruinas bajo la luna y las estrellas y cada vez que regresaba traía una canción...;;;;;;;;;x;;;;;;;;;;;
dragon_intel_summerhall_opt;But what did really happen here?;Mais que s'est-il véritablement passé ici ?;;;Pero; qué es lo que realmente ha pasado aquí?;;;;;;;;;x;;;;;;;;;;;;;;;
dragon_intel_eggs_desc;One evening you were examining your Dragon egg and you are almost sure that it is emitting heat. Perhaps it is responding to my touch; and will soon reveal it's secret?;Un soir; en examinant votre œuf de dragon; vous êtes presque certain de sentir une chaleur. Peut-être répond-t-il à mon contact et est-il prêt à me révéler ses secrets ?;;;Una tarde; examinando tu huevo de dragón; notas un calor. Tal vez responde a mi contacto y está listo para revelarme sus secretos?;;;;;;;;;x;;;;;;;;;;;
dragon_intel_eggs_opt;I will reveal it!;Je le percerai !;;;Lo revelaré!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.31;The enemy are beyond counting. Their ranks reach beyond the horizon; armor shining in the midday sun. Your dragon roars in eager anticipation; and you cannot help savoring your victory.;L'ost ennemi s'étend; innombrable face à moi. Ses rangs atteignent l'horizon; les armures des guerriers brillant de mille feux au soleil de midi. Votre dragon rugit de plaisir et vous ne pouvez pas vous empêcher de déjà savourer votre victoire. ;;;Las huestes del enemigo forman frente a mí; sus filas alcanzan el horizonte; las armaduras de los guerreros brillan con el sol del mediodía. Tu dragón ruge de placer y no puedes impedir empezar a saborear la victoria. ;;;;;;;;;x;;;;;;;;;;
EVTNAMEdragon.31;The Field of Fire;Le Champ du Feu.;;;El Campo de Fuego.;;;;;;;;;x;;;;;;;;;;;;;;;;
BURN_THEM_ALL;Dracarys!;Dracarys !;;;¡Dracarys!;;;;;;;;;x;;;;;;;;;;;;;;;;
not_now_dracarys;My knights can handle this themselves.;Mes chevaliers vont s'occuper de cela tous seuls.;;;Mis caballeros se ocuparán.;;;;;;;;;x;;;;;;;;;;;;;;;;
siege_of_fire;Your enemies think they are safe on the other side of rock and mortar. Do the fools truly believe such petty defenses can hold back your fire?;Vos ennemis pensent être à l'abri derrière leurs fortifications de pierre et ciment. Ces imbéciles sont-ils persuadés que de si faibles défenses peuvent arrêter vos flammes ?;;;Tus enemigos creen que están a salvo detrás de sus fortificaciones de piedra y cemento. Esos imbéciles creen que esas débiles defensas podrán contener el fuego?;;;;;;;;;x;;;;;;;;;;;;;;;;
getting_burned;The battle had seemed to be going well when a shadow blocked out the sun. [From.GetTitledFirstNameWithNick] [From.GetOnlyDynastyName] descended upon the field on dragonback; and all was consumed in a frenzy of fire and blood.;La bataille était bien engagée lorsqu'une ombre masqua le soleil. Monté(e) sur son dragon [From.GetTitledFirstNameWithNick] [From.GetOnlyDynastyName] descendit sur le champ de bataille et tout fut consumé dans une tornade de feu et sang.;;;La batalla parecía ir bien hasta que una sombra cubrió el sol. Montado en su dragón [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] descendió sobre el campo de batalla y todo fue consumido por un tornado de fuego y sangre.;;;;;;;;;x;;;;;;;;;;;;;;;
your_host_just_got_burned_by_dragons;Run you fools; all is lost!;Courez; bande de fous; tout est perdu !;;;¡Corred; insensatos; todo está perdido!;;;;;;;;;x;;;;;;;;;;;
stand_and_fight;If it bleeds it can be killed.;S'il saigne; il peut être tué.;;;Si sangra; puede morir.;;;;;;;;;x;;;;;;;;;;;;;;
burned1;Burned land;Terre brûlée;;;Tierra quemada;;;;;;;;;x;;;;;;;;;;;;;;;;
burned1_desc;Land burned by dragonfire;Terre brûlée par du feu de dragon;;;Tierra quemada por fuego de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
burned2;Scorched earth;Terre roussie;;;Tierra chamuscada;;;;;;;;;x;;;;;;;;;;;;;;;;
burned2_desc;Land scorched by dragonfire;Terre roussie par du feu de dragon;;;Tierra chamuscada por fuego de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
burned3;Wasteland;Terre désolée;;;Tierra yerma;;;;;;;;;x;;;;;;;;;;;;;;;;
burned3_desc;Not much remains..;Il ne reste plus grand chose…;;;Tierra yerma; poco más que un erial;;;;;;;;;x;;;;;;;;;;;;;;;
burning;Burning;Brûle;;;Incendio;;;;;;;;;x;;;;;;;;;;;;;;;;
burning_desc;This province is on fire;Cette province est en feu;;;Esta provincia está en llamas;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_lair;Dragon's lair;Repaire de dragon;;;Guarida de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_lair_desc;A dragon build his lair in this province is terrorizing the smallfolk.;Un dragon a construit son repaire dans cette province et terrorise les petites gens.;;;Un dragón ha construido su guarida en esta provincia y aterroriza al pueblo llano.;;;;;;;;;x;;;;;;;;;;;;;;;;
face_dragon_dec;Face the dragon;Faire face au dragon;;;Hacer frente al dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
face_dragon_dec_desc;Face the dragon in his lair;Faire face au dragon dans son repaire;;;Hacer frente al dragón en su guarida;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.38;I will have to duel another dragon rider here first...;Je vais d'abord devoir affronter un autre chevaucheur de dragon…;;;Debo enfrentarme a otro jinete de dragón primero…;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.42;Outside your walls; high above the ground; [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] approaches your castle on a dragon. [From.GetSheHeCap] might set fire to the walls.;Monté(e) sur un dragon; [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se dirige vers votre château. [From.GetSheHeCap] pourrait déverser un enfer de flamme sur vos murailles. ;;;Montado en un dragón; [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se dirige a tu castillo. Podría descargar un infierno de llamas sobre tus murallas.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.42;I better stop [From.GetHerHim] now and engage [From.GetHerHim] above my castle.;Je ferais mieux de le(a) stopper dès maintenant en l'affrontant directement. ;;;Sería mejor pararlo ahora y enfrentarme a él directamente. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.42;Let's hope he doesn't.;Espérons qu'[From.GetSheHeCap] ne le fera pas.;;;Esperemos que no lo haga.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.12;You now have to decide how to approuch this wild beast.;Vous devez maintenant décider comment vous approcher de cette bête sauvage.;;;Debes decidir como acercarte a esta bestia salvaje.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.12;I will tame the dragon;Je vais apprivoiser le dragon.;;;Domaré al dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.12;Off with the beasts head.;Couper la tête du dragon.;;;Cortar la cabeza del dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.12;Fly away little dragon; there is no place for you here.;Envole-toi vers d'autres cieux petit dragon; il n'y a pas de place pour toi ici.;;;Vuela a otras tierras pequeño dragón; aquí no hay sitio para ti.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTDdragon.12;I won't take any action for now.;Je ne vais rien faire pour le moment.;;;No haré nada de momento.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.14;You have succesfully tamed [FromFrom.GetFirstName]!;Vous êtes parvenu à apprivoiser [FromFrom.GetFirstName]!;;;Has domado con éxito a [FromFrom.GetFirstName]!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.14;The world is mine.;Le monde est à moi.;;;El mundo es mío.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.15;You failed to tame the dragon [FromFrom.GetFirstName] and will now face the consequences.;Vous n'avez pas réussi à apprivoiser le dragon [FromFrom.GetFirstName]; faîtes désormais face aux conséquences.;;;No has conseguido domar al dragón [FromFrom.GetFirstName]; ahora te enfrentas a las consecuencias.;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.15;What have I done?;Qu'ai-je fait ?;;;Qué he hecho?;;;;;;;;;x;;;;;;;;;;;;;;;;
