#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_new_valyria;New Valyria;Nouvelle Valyria;;;Nueva Valyria;;;;;;;;;x
b_berylos_temple;Berylos;Berylos;Berylos;Berylos;Berylos;;;;;;;;;x
c_littlerhoyne;Little Rhoyne;Petite Rhoyne;;;Pequeño Rhoyne;;;;;;;;;x
b_littlerhoyne;Little Rhoyne;Petite Rhoyne;;;Pequeño Rhoyne;;;;;;;;;x
b_littlerhoyne_castle;Little Rhoyne;Petite Rhoyne;;;Pequeño Rhoyne;;;;;;;;;x
b_littlerhoyne_temple;Little Rhoyne;Petite Rhoyne;;;Pequeño Rhoyne;;;;;;;;;x
d_velvet_hills;Velvet Hills;Collines de Velours;;;Colinas de Terciopelo;;;;;;;;;x
c_velvetmarch;Velvet March;Marche de Velours;;;Marca de Terciopelo;;;;;;;;;x
b_velvetmarch;Velvet March;Marche de Velours;;;Cubil de los Bandidos;;;;;;;;;x
b_velvetmarch_castle;Velvet March;Marche de Velours;;;Marca de Terciopelo;;;;;;;;;x
b_velvetmarch_temple;Velvet March;Marche de Velours;;;Marca de Terciopelo;;;;;;;;;x
c_velvetpeak;Velvetpeak;Pic de Velours;;;Pico de Terciopelo;;;;;;;;;x
b_velvetpeak;Velvetpeak;Pic de Velours;;;Posada de Terciopelo;;;;;;;;;x
b_velvetpeak_castle;Velvetpeak;Pic de Velours;;;La Esfinge;;;;;;;;;x
b_velvetpeak_temple;Velvetpeak;Pic de Velours;;;Pico de Terciopelo;;;;;;;;;x
c_fareyes;Fareyes;Oeiloin;;;Ojos Lejanos;;;;;;;;;x
b_fareyes;Fareyes;Oeiloin;;;Ojos Lejanos;;;;;;;;;x
b_fareyes_castle;Fareyes;Oeiloin;;;Torreojo;;;;;;;;;x
b_fareyes_temple;Fareyes;Oeiloin;;;Ojos Lejanos;;;;;;;;;x
d_pentoshi_flatlands;Pentoshi Flatlands;Basses Landes Pentoshies;;;Llanuras Pentoshi;;;;;;;;;x
c_amenos;Amenos;Amenos;;;Amenos;;;;;;;;;x
b_amenos;Amenos;Amenos;;;Amenos;;;;;;;;;x
b_amenos_castle;Amenos;Amenos;;;Amenos;;;;;;;;;x
b_amenos_temple;Amenos;Amenos;;;Amenos;;;;;;;;;x
c_arkon;Ar Kon;Ar Kon;;;Ar Kon;;;;;;;;;x
b_arkon;Ar Kon;Ar Kon;;;Ar Kon;;;;;;;;;x
b_arkon_castle;Ar Kon;Ar Kon;;;Ar Kon;;;;;;;;;x
b_arkon_temple;Ar Kon;Ar Kon;;;Ar Kon;;;;;;;;;x
c_mylonos;Mylonos;Mylonos;;;Mylonos;;;;;;;;;x
b_mylonos;Mylonos;Mylonos;;;Mylonos;;;;;;;;;x
b_mylonos_castle;Mylonos;Mylonos;;;Mylonos;;;;;;;;;x
b_mylonos_temple;Mylonos;Mylonos;;;Mylonos;;;;;;;;;x
c_nontelos;Nontelos;Nontelos;;;Nontelos;;;;;;;;;x
b_nontelos;Nontelos;Nontelos;;;Nontelos;;;;;;;;;x
b_nontelos_castle;Nontelos;Nontelos;;;Nontelos;;;;;;;;;x
b_nontelos_temple;Nontelos;Nontelos;;;Nontelos;;;;;;;;;x
c_lakeofmyrth;Lake of Myrth;Lac de Myrth;;;Lago de la Alegría;;;;;;;;;x
b_lakeofmyrth;Lake of Myrth;Lac de Myrth;;;Puerto Alegre;;;;;;;;;x
b_lakeofmyrth_castle;Lake of Myrth;Lac de Myrth;;;Torrelago;;;;;;;;;x
b_lakeofmyrth_temple;Lake of Myrth;Lac de Myrth;;;Lago de la Alegría;;;;;;;;;x
c_samal;Samal;Samal;;;Samal;;;;;;;;;x
b_samal;Samal;Samal;;;Samal;;;;;;;;;x
b_samal_castle;Samal;Samal;;;Samal;;;;;;;;;x
b_samal_temple;Samal;Samal;;;Samal;;;;;;;;;x
c_ghoyan_drohe;Ghoyan Drohe;Ghoyan Drohe;;;Ghoyan Drohe;;;;;;;;;x
b_ghoyan_castle;Ghoyan Castle;Château Ghoyan;;;Palacio Ghoyan;;;;;;;;;x
b_ghoyan_drohe;Ghoyan Drohe;Ghoyan Drohe;;;Ghoyan Drohe;;;;;;;;;x
b_ghoyan_drohe_temple;Ghoyan Drohe;Ghoyan Drohe;;;Ghoyan Drohe;;;;;;;;;x
b_sar_moyhan;Sar Moyhan;Sar Moyhan;;;Sar Moyhan;;;;;;;;;x
b_gholuru;Golhuru;Golhuru;;;Golhuru;;;;;;;;;x
k_myr;Myr;Myr;;;Myr;;;;;;;;;x
k_myr_adj;Myrish;Myrien;;;Myriense;;;;;;;;;x
d_myr;Myr;Myr;;;Myr;;;;;;;;;x
c_myr;Myr;Myr;;;Myr;;;;;;;;;x
b_myr;Myr;Myr;;;Myr;;;;;;;;;x
b_myrishharbor;Harbor of Myr;Port de Myr;;;Puerto de Myr;;;;;;;;;x
b_redtemplemyr;Myr;Myr;;;Myr;;;;;;;;;x
b_vyrelos;Vyrelos;Vyrelos;;;Vyrelos;;;;;;;;;x
b_lace_tower;Lace Tower;Tour de Dentelle;;;Torre del Artesano;;;;;;;;;x
b_green_gate;Green Gate;Porte Verte;;;Puerta Verde;;;;;;;;;x
b_nymolis;Nymolis;Nymolis;;;Nymolis;;;;;;;;;x
c_bayofmyr;Naqes Embar;Naqes Embar;;;Naqes Embar;;;;;;;;;x
b_bayofmyr;Naqes Embar;Naqes Embar;;;Puerto Bahía;;;;;;;;;x
b_bayofmyr_castle;Naqes Embar;Naqes Embar;;;Atalaya de la Bahía;;;;;;;;;x
b_bayofmyr_temple;Naqes Embar;Naqes Embar;;;Puerto Bahía;;;;;;;;;x
d_myrish_hinterlands;The Daughter's March;La Marche de la Fille;;;La Marca de la Hija;;;;;;;;;x
c_plainsofmyr;Rynlos;Rynlos;;;Rynlos;;;;;;;;;x
b_plainsofmyr;Rynlos;Rynlos;;;Rynlos;;;;;;;;;x
b_plainsofmyr_castle;Rynlos;Rynlos;;;Rynlos;;;;;;;;;x
b_plainsofmyr_temple;Rynlos;Rynlos;;;Rynlos;;;;;;;;;x
c_latnyr;Latnyr;Latnyr;;;Latnyr;;;;;;;;;x
b_latnyr;Latnyr;Latnyr;;;Latnyr;;;;;;;;;x
b_latnyr_castle;Latnyr;Latnyr;;;Latnyr;;;;;;;;;x
b_latnyr_temple;Latnyr;Latnyr;;;Latnyr;;;;;;;;;x
c_vymolys;Vymolys;Vymolys;;;Vymolys;;;;;;;;;x
b_vymolys;Vymolys;Vymolys;;;Vymolys;;;;;;;;;x
b_vymolys_castle;Vymolys;Vymolys;;;Vymolys;;;;;;;;;x
b_vymolys_temple;Vymolys;Vymolys;;;Vymolys;;;;;;;;;x
d_myrish_disputed_lands;Myrish Disputed Lands;Terres Disputées Myriennes;;;Tierras de la Discordia de Myr;;;;;;;;;x
c_forestofmyr;Kios;Kios;;;Kios;;;;;;;;;x
b_forestofmyr;Kios;Kios;;;Nectarina;;;;;;;;;x
b_forestofmyr_castle;Kios;Kios;;;Torre Néctar;;;;;;;;;x
b_forestofmyr_temple;Kios;Kios;;;Bosque de Myr;;;;;;;;;x
c_myrwater;Myrwater;Myr-eaux;;;Aguas de Myr;;;;;;;;;x
b_myrwater;Myrwater;Myr-eaux;;;Aguas de Myr;;;;;;;;;x
b_myrwater_castle;Myrwater;Myr-eaux;;;Torredelagua;;;;;;;;;x
b_myrwater_temple;Myrwater;Myr-eaux;;;Aguas de Myr;;;;;;;;;x
c_drelyia;Drelyia;Drelyia;;;Drelyia;;;;;;;;;x
b_drelyia;Drelyia;Drelyia;;;Drelyia;;;;;;;;;x
b_drelyia_castle;Drelyia;Drelyia;;;Drelyia;;;;;;;;;x
b_drelyia_temple;Drelyia;Drelyia;;;Drelyia;;;;;;;;;x
d_myrish_flatlands;Myrish Flatlands;Basses Landes Myriennes;;;Llanuras de Myr;;;;;;;;;x
c_lortyrbay;Lortyr Bay;Baie de Lortyr;;;Vega Verde;;;;;;;;;x
b_lortyrbay;Lortyr Bay;Baie de Lortyr;;;Vega Verde;;;;;;;;;x
b_lortyrbay_castle;Lortyr Bay;Baie de Lortyr;;;Torreverde;;;;;;;;;x
b_lortyrbay_temple;Lortyr Bay;Baie de Lortyr;;;Vega Verde;;;;;;;;;x
c_longlake;Longlake;Granlac;;;Vidreras;;;;;;;;;x
b_longlake;Longlake;Granlac;;;Vidreras;;;;;;;;;x
b_longlake_castle;Longlake;Granlac;;;Vidreras;;;;;;;;;x
b_longlake_temple;Longlake;Granlac;;;Vidreras;;;;;;;;;x
c_byloth;Byloth;Byloth;;;Naranjales;;;;;;;;;x
b_byloth;Byloth;Byloth;;;Naranjales;;;;;;;;;x
b_byloth_castle;Byloth;Byloth;;;Torreón Naranja;;;;;;;;;x
b_byloth_temple;Byloth;Byloth;;;Naranjales;;;;;;;;;x
c_nymyrelor;Ny Myrelor;Ny Myrelor;;;Ny Myrelor;;;;;;;;;x
b_nymyrelor;Ny Myrelor;Ny Myrelor;;;Ny Myrelor;;;;;;;;;x
b_nymyrelor_castle;Ny Myrelor;Ny Myrelor;;;Ny Myrelor;;;;;;;;;x
b_nymyrelor_temple;Ny Myrelor;Ny Myrelor;;;Ny Myrelor;;;;;;;;;x
c_greenlace;Greenlace;Verlacet;;;El Encaje;;;;;;;;;x
b_greenlace;Greenlace;Verlacet;;;El Encaje;;;;;;;;;x
b_greenlace_castle;Greenlace;Verlacet;;;Torre del Encaje;;;;;;;;;x
b_greenlace_temple;Greenlace;Verlacet;;;El Encaje;;;;;;;;;x
k_lys;Lys;Lys;Lys;Lys;Lys;;;;;;;;;x
k_lys_adj;Lysene;Lysien;Lysene;Lysene;Lysena;;;;;;;;;x
d_lys;Lys;Lys;Lys;Lys;Lys;;;;;;;;;x
c_lys;Lys;Lys;Lys;Lys;Lys;;;;;;;;;x
b_lys;Lys;Lys;Lys;Lys;Lys;;;;;;;;;x
b_lyseneharbor;Lysene Harbor;Port Lysien;Lysene Harbor;Lysene Harbor;Puerto Lyseno;;;;;;;;;x
b_pleasuregardens;Pleasure Gardens of Lys;Jardins des Plaisirs de Lys;Pleasure Gardens of Lys;Pleasure Gardens of Lys;Los Jardines de Placer;;;;;;;;;x
b_redtemplelys;Lys;Lys;;;Lys;;;;;;;;;x
b_tear_tower;Tear Tower;Tour des Larmes;;;Torre de las Lágrimas;;;;;;;;;x
b_numys;Numys;Numys;;;Numys;;;;;;;;;x
b_lentorys;Lentorys;Lentorys;;;Lentorys;;;;;;;;;x
c_dyrenohill;Dyreno Hill;Colline de Dyreno;;;Colinas del Tapiz;;;;;;;;;x
b_dyrenohill;Dyreno Hill;Colline de Dyreno;;;Los Tapices;;;;;;;;;x
b_dyrenohill_castle;Dyreno Hill;Colline de Dyreno;;;Torreón Tapiz;;;;;;;;;x
b_dyrenohill_temple;Dyreno Hill;Colline de Dyreno;;;Los Tapices;;;;;;;;;x
c_lyseneforest;Morghos;Morghos;;;Morghos;;;;;;;;;x
b_lyseneforest;Morghos;Morghos;;;Alquimia;;;;;;;;;x
b_lyseneforest_castle;Morghos;Morghos;;;Torre del Alquimista;;;;;;;;;x
b_lyseneforest_temple;Morghos;Morghos;;;Bosque Lyseno;;;;;;;;;x
d_lysene_disputed_lands;Lysene Disputed Lands;Terres Disputées Lysiennes;;;Tierras de la Discordia de Lys;;;;;;;;;x
c_disputedforest;Disputed Forest;Forêt Disputée;;;Bosque de la Discordia;;;;;;;;;x
b_disputedforest;Disputed Forest;Forêt Disputée;;;Puerto Comercial;;;;;;;;;x
b_disputedforest_castle;Disputed Forest;Forêt Disputée;;;Fortín de la Discordia;;;;;;;;;x
b_disputedforest_temple;Disputed Forest;Forêt Disputée;;;El Comercio;;;;;;;;;x
c_mesylosh;Mesylosh;Mesylosh;;;Mesylosh;;;;;;;;;x
b_mesylosh;Mesylosh;Mesylosh;;;Mesylosh;;;;;;;;;x
b_mesylosh_castle;Mesylosh;Mesylosh;;;Mesylosh;;;;;;;;;x
b_mesylosh_temple;Mesylosh;Mesylosh;;;Mesylosh;;;;;;;;;x
c_silkhead;Silkhead;Tête-Soie;;;Nube de Seda;;;;;;;;;x
b_silkhead;Silkhead;Tête-Soie;;;Nube de Seda;;;;;;;;;x
b_silkhead_castle;Silkhead;Tête-Soie;;;Torre de la Seda;;;;;;;;;x
b_silkhead_temple;Silkhead;Tête-Soie;;;Nube de Seda;;;;;;;;;x
k_norvos;Norvos;Norvos;Norvos;Norvos;Norvos;;;;;;;;;x
k_norvos_adj;Norvoshi;Norvosien;Norvoshi;Norvoshi;Norvoyita;;;;;;;;;x
d_norvos;Norvos;Norvos;;;Norvos;;;;;;;;;x
d_norvos_adj;Norvoshi;Norvosien;;;Norvoyita;;;;;;;;;x
d_hills_of_norvos;The Hills of Norvos;Les Collines de Norvos;;;Colinas de Norvos;;;;;;;;;x
d_the_west_road;The West Road;La Route de l'Ouest;;;El Camino del Oeste;;;;;;;;;x
d_bearded_priests;The Bearded Priests;Les Prêtres à Barbe;;;Los Clérigos Barbudos;;;;;;;;;x
BEARDED_PRIEST;High Priest;Grand Prêtre;;;Alto Clérigo;;;;;;;;;x
BEARDED_PRIEST_FOA;Your Holiness;Votre Sainteté;;;Su Santidad;;;;;;;;;x
c_norvos;Norvos;Norvos;Norvos;Norvos;Norvos;;;;;;;;;x
b_norvos;Norvos;Norvos;Norvos;Norvos;Norvos;;;;;;;;;x
b_lowernorvos;Lower Norvos;Basse Norvos;Lower Norvos;Lower Norvos;Bajo Norvos;;;;;;;;;x
b_noom;Noom;Noom;Noom;Noom;Noom;;;;;;;;;x
b_narrah;Narrah;Narrah;Narrah;Narrah;Narrah;;;;;;;;;x
b_nyel;Nyel;Nyel;Nyel;Nyel;Nyel;;;;;;;;;x
b_beardedtemple;the Bearded Priests;Les Prêtres à Barbe;;;los Clérigos Barbudos;;;;;;;;;x
c_noyne;Noyne;Noyne;;;Noyne;;;;;;;;;x
b_noyne;Noyne;Noyne;;;Puerto del Noyne;;;;;;;;;x
b_noynecastle;Noyne;Noyne;;;Atalaya del Noyne;;;;;;;;;x
b_noynetemple;Noyne;Noyne;;;el Noyne;;;;;;;;;x
c_mountnorvo;Mount Norvo;Mont Norvo;;;Montenorvo;;;;;;;;;x
b_mountnorvo;Mount Norvo;Mont Norvo;;;Montenorvo;;;;;;;;;x
b_mountnorvocastle;Mount Norvo;Mont Norvo;;;Fuertenorvo;;;;;;;;;x
b_mountnorvotemple;Mount Norvo;Mont Norvo;;;Montenorvo;;;;;;;;;x
c_dark_hills;The Dark Hills;Les Collines Sombres;;;Colinas Sombrías;;;;;;;;;x
b_dark_hills;The Dark Hills;Les Collines Sombres;;;Colinas Sombrías;;;;;;;;;x
b_dark_hillscastle;The Dark Hills;Les Collines Sombres;;;Torresombría;;;;;;;;;x
b_dark_hillstemple;The Dark Hills;Les Collines Sombres;;;Colinas Sombrías;;;;;;;;;x
c_dolronhor;Dolronhor;Dolronhor;;;Dolronhor;;;;;;;;;x
b_dolronhor_castle;Dolronhor;Dolronhor;;;Dolronhor;;;;;;;;;x
b_dolronhor;Dolronhor;Dolronhor;;;Dolronhor;;;;;;;;;x
b_dolronhor_temple;Dolronhor;Dolronhor;;;Dolronhor;;;;;;;;;x
c_nyelos;Nyelos;Nyelos;;;Nyelos;;;;;;;;;x
b_nyelos;Nyelos;Nyelos;;;Nyelos;;;;;;;;;x
b_nyeloscastle;Nyelos;Nyelos;;;Nyelos;;;;;;;;;x
b_nyelostemple;Nyelos;Nyelos;;;Nyelos;;;;;;;;;x
c_noomgate;Noomgate;Porte Noom;;;Puerta Noom;;;;;;;;;x
b_noomgate;Noomgate;Porte Noom;;;Fonda de la Puerta;;;;;;;;;x
b_noomgatecastle;Noomgate;Porte Noom;;;Puerta Noom;;;;;;;;;x
b_noomgatetemple;Noomgate;Porte Noom;;;Puerta Noom;;;;;;;;;x
c_palhorvos;Palhorvos;Palhorvos;;;Palhorvos;;;;;;;;;x
b_palhorvos;Palhorvos;Palhorvos;;;Palhorvos;;;;;;;;;x
b_palhorvoscastle;Palhorvos;Palhorvos;;;Palhorvos;;;;;;;;;x
b_palhorvostemple;Palhorvos;Palhorvos;;;Palhorvos;;;;;;;;;x
c_ghoyanpass;The Ghoyan Pass;La Passe de Ghoyan;;;Paso de Ghoyan;;;;;;;;;x
b_ghoyanpass;The Ghoyan Pass;La Passe de Ghoyan;;;Paso de Ghoyan;;;;;;;;;x
b_ghoyanpasscastle;The Ghoyan Pass;La Passe de Ghoyan;;;Atalaya del Paso;;;;;;;;;x
b_ghoyanpasstemple;The Ghoyan Pass;La Passe de Ghoyan;;;Paso de Ghoyan;;;;;;;;;x
c_bearhills;The Bear Hills;Les Collines des Ours;;;Colinas del Oso;;;;;;;;;x
b_bearhills;The Bear Hills;Les Collines des Ours;;;El Oso;;;;;;;;;x
b_bearhillscastle;The Bear Hills;Les Collines des Ours;;;Torre de El Oso;;;;;;;;;x
b_bearhillstemple;The Bear Hills;Les Collines des Ours;;;Colinas del Oso;;;;;;;;;x
c_narros;Narros;Narros;;;Narros;;;;;;;;;x
b_narros;Narros;Narros;;;Narros;;;;;;;;;x
b_narroscastle;Narros;Narros;;;Narros;;;;;;;;;x
b_narrostemple;Narros;Narros;;;Narros;;;;;;;;;x
k_qohor;Qohor;Qohor;Qohor;Qohor;Qohor;;;;;;;;;x
k_qohor_adj;Qohorik;Qohorien;Qohorik;Qohorik;Qohoriense;;;;;;;;;x
d_qohor;Qohor;Qohor;Qohor;Qohor;Qohor;;;;;;;;;x
